id,kode_mesin,mesin
1,TGN-1007,Ryobi 1
2,TGN-1008,Ryobi 2
3,TGN-1009,Komori 1
4,TGN-1010,Komori 2
5,TGN-1011,Komori 3
6,TGN-1002,GTO
7,TGN-1032,Komori 4
8,HDR-1001,GTO
9,HDR-1002,GTO
