id,id_divisi,seksi,created_at,updated_at
1,1,SBU Produk Non Uang,10-03-2022 2:11,10-03-2022 2:11
2,1,Khazanah & Verifikasi Pita Cukai,10-03-2022 2:11,10-03-2022 2:11
3,1,Cetak Pita Cukai,10-03-2022 2:11,10-03-2022 2:11
4,1,Pengiriman Pita Cukai,10-03-2022 2:11,10-03-2022 2:11
5,1,Khazanah & Verifikasi Materai,10-03-2022 2:11,10-03-2022 2:11
6,1,Cetak Materai,10-03-2022 2:11,10-03-2022 2:11
7,1,Khazanah & Verifikasi Paspor,10-03-2022 2:11,10-03-2022 2:11
8,1,Cetak Paspor,10-03-2022 2:11,10-03-2022 2:11
